IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,TOTAL_FLIGHTS,UNITED_FLIGHTS,DELTA_FLIGHTS,AMERICAN_FLIGHTS,OTHER_FLIGHTS,UNITED_IN_DELAY,DELTA_IN_DELAY,AMERICAN_IN_DELAY,OTHER_IN_DELAY,UNITED_OUT_DELAY,DELTA_OUT_DELAY,AMERICAN_OUT_DELAY,OTHER_OUT_DELAY
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,4599,0,0,0,4599,0.0,0.0,0.0,7.403365165984538,0.0,0.0,0.0,6.648931332423829
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,13927,0,1873,0,12054,0.0,-1.77765843179377,0.0,12.591462369278243,0.0,-3.056034482758621,0.0,9.974424991417782
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,29.95423,-81.34291,310,0,0,0,310,0.0,0.0,0.0,1.9315068493150684,0.0,0.0,0.0,8.972222222222221
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,411,0,0,0,411,0.0,0.0,0.0,-13.761421319796954,0.0,0.0,0.0,-7.52
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,1870,0,0,0,1870,0.0,0.0,0.0,6.947882736156352,0.0,0.0,0.0,7.086486486486487
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,9736,0,3529,0,6207,0.0,0.7937142857142857,0.0,9.61309722686268,0.0,-0.6982316029663435,0.0,9.4189234369776
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,1328,0,0,0,1328,0.0,0.0,0.0,5.375766871165644,0.0,0.0,0.0,4.667180277349769
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,416,0,0,0,416,0.0,0.0,0.0,4.193236714975845,0.0,0.0,0.0,-1.8653846153846156
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,18567,0,1077,36,17454,0.0,-0.104089219330855,-8.055555555555555,9.37449584816133,0.0,-1.377110694183865,-12.555555555555555,12.083808844507846
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,1324,0,0,0,1324,0.0,0.0,0.0,0.3711656441717791,0.0,0.0,0.0,-5.632307692307692
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,3755,0,0,0,3755,0.0,0.0,0.0,3.259159482758621,0.0,0.0,0.0,2.184466019417476
